"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","TAXI_OUT","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017,1,29,7,"WN","N271LV","4309","MDW","BOS","2110","2105",-5.00,13.00,10.00,"0020","0012",-8.00,0.00,"",0.00,130.00,127.00,104.00,861.00,,,,,,
2017,1,29,7,"WN","N8609A","4348","MDW","BOS","1425","1423",-2.00,17.00,6.00,"1740","1733",-7.00,0.00,"",0.00,135.00,130.00,107.00,861.00,,,,,,
2017,1,29,7,"WN","N751SW","2791","MDW","BUF","1415","1443",28.00,8.00,4.00,"1640","1701",21.00,0.00,"",0.00,85.00,78.00,66.00,468.00,4.00,0.00,0.00,0.00,17.00,
2017,1,29,7,"WN","N288WN","3600","MDW","BUF","2210","2200",-10.00,14.00,5.00,"0035","0025",-10.00,0.00,"",0.00,85.00,85.00,66.00,468.00,,,,,,
2017,1,29,7,"WN","N559WN","2762","MDW","BWI","1230","1224",-6.00,23.00,13.00,"1515","1522",7.00,0.00,"",0.00,105.00,118.00,82.00,611.00,,,,,,
2017,1,29,7,"WN","N905WN","3249","MDW","BWI","0955","0957",2.00,6.00,4.00,"1240","1235",-5.00,0.00,"",0.00,105.00,98.00,88.00,611.00,,,,,,
2017,1,29,7,"WN","N7740A","3466","MDW","BWI","2000","2018",18.00,16.00,5.00,"2245","2300",15.00,0.00,"",0.00,105.00,102.00,81.00,611.00,0.00,0.00,0.00,0.00,15.00,
2017,1,29,7,"WN","N7873A","4218","MDW","BWI","2205","2205",0.00,14.00,4.00,"0045","0045",0.00,0.00,"",0.00,100.00,100.00,82.00,611.00,,,,,,
2017,1,29,7,"WN","N498WN","5672","MDW","BWI","1450","1447",-3.00,22.00,5.00,"1730","1737",7.00,0.00,"",0.00,100.00,110.00,83.00,611.00,,,,,,
2017,1,29,7,"WN","N934WN","3037","MDW","CHS","2010","2000",-10.00,15.00,5.00,"2315","2249",-26.00,0.00,"",0.00,125.00,109.00,89.00,745.00,,,,,,
2017,1,29,7,"WN","N7712G","3071","MDW","CLE","1755","1747",-8.00,17.00,6.00,"2005","2001",-4.00,0.00,"",0.00,70.00,74.00,51.00,307.00,,,,,,
2017,1,29,7,"WN","N8667D","4713","MDW","CLE","1420","1423",3.00,7.00,7.00,"1625","1626",1.00,0.00,"",0.00,65.00,63.00,49.00,307.00,,,,,,
2017,1,29,7,"WN","N7749B","4881","MDW","CLE","1950","1944",-6.00,7.00,7.00,"2205","2150",-15.00,0.00,"",0.00,75.00,66.00,52.00,307.00,,,,,,
2017,1,29,7,"WN","N8616C","5484","MDW","CLE","2220","2215",-5.00,14.00,7.00,"0030","0025",-5.00,0.00,"",0.00,70.00,70.00,49.00,307.00,,,,,,
2017,1,29,7,"WN","N266WN","2071","MDW","CLT","2155","2151",-4.00,8.00,10.00,"0035","0020",-15.00,0.00,"",0.00,100.00,89.00,71.00,584.00,,,,,,
2017,1,29,7,"WN","N755SA","3470","MDW","CLT","1425","1453",28.00,11.00,7.00,"1715","1726",11.00,0.00,"",0.00,110.00,93.00,75.00,584.00,,,,,,
2017,1,29,7,"WN","N8672F","1742","MDW","CMH","2200","2158",-2.00,11.00,5.00,"0005","2400",-5.00,0.00,"",0.00,65.00,62.00,46.00,283.00,,,,,,
2017,1,29,7,"WN","N969WN","2788","MDW","CMH","1915","1908",-7.00,12.00,4.00,"2125","2113",-12.00,0.00,"",0.00,70.00,65.00,49.00,283.00,,,,,,
